program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/SecureMin;3;50;100;1000;2;0:00:16.418;1372648;17.88;94;4.14
UseCases/SecureMin;3;50;100;1000;5;0:00:25.338;1372648;25.81;88;4.18
UseCases/SecureMin;3;50;100;10000;0;0:00:32.477;13738648;32.97;496;4.66
UseCases/SecureMin;3;50;100;10000;1;0:01:15.351;13738648;75.79;478;4.76
UseCases/SecureMin;3;50;100;10000;2;0:01:41.532;13738648;102.02;490;4.94
UseCases/SecureMin;3;50;100;10000;5;0:02:33.092;13738648;153.73;484;5.06
UseCases/SecureMin;3;75;25000;100;0;0:00:06.007;136048;6.59;65;4.00
UseCases/SecureMin;3;75;25000;100;1;0:00:09.277;136048;9.84;53;4.02
UseCases/SecureMin;3;75;25000;100;2;0:00:11.175;136048;12.20;45;4.20
UseCases/SecureMin;3;75;25000;100;5;0:00:15.840;136048;16.42;45;4.04
UseCases/SecureMin;3;75;25000;1000;0;0:00:09.890;1372648;10.48;86;4.25
UseCases/SecureMin;3;75;25000;1000;1;0:00:21.037;1372648;21.63;96;4.25
UseCases/SecureMin;3;75;25000;1000;2;0:00:21.496;1372648;22.08;94;4.23
UseCases/SecureMin;3;75;25000;1000;5;0:00:40.706;1372648;41.52;80;4.14
UseCases/SecureMin;3;75;25000;10000;0;0:00:36.050;13738648;36.62;496;4.71
UseCases/SecureMin;3;75;25000;10000;1;0:01:37.234;13738648;97.85;494;4.84
UseCases/SecureMin;3;75;25000;10000;2;0:02:19.077;13738648;139.68;486;4.88
UseCases/SecureMin;3;75;25000;10000;5;0:03:39.060;13738648;220.63;504;4.91
UseCases/SecureMin;3;75;10000;100;0;0:00:05.995;136048;6.55;65;4.09
UseCases/SecureMin;3;75;10000;100;1;0:00:09.105;136048;9.66;43;4.04
UseCases/SecureMin;3;75;10000;100;2;0:00:11.283;136048;11.87;63;4.09
UseCases/SecureMin;3;75;10000;100;5;0:00:14.977;136048;15.48;53;4.04
UseCases/SecureMin;3;75;10000;1000;0;0:00:09.665;1372648;10.25;86;4.19
UseCases/SecureMin;3;75;10000;1000;1;0:00:18.095;1372648;18.92;96;4.11
UseCases/SecureMin;3;75;10000;1000;2;0:00:21.711;1372648;23.29;88;4.25
UseCases/SecureMin;3;75;10000;1000;5;0:00:34.989;1372648;35.58;98;4.14
UseCases/SecureMin;3;75;10000;10000;0;0:00:35.010;13738648;35.59;484;4.84
UseCases/SecureMin;3;75;10000;10000;1;0:01:41.284;13738648;101.87;486;4.73
UseCases/SecureMin;3;75;10000;10000;2;0:02:17.231;13738648;137.84;490;4.97
UseCases/SecureMin;3;75;10000;10000;5;0:03:32.656;13738648;213.71;490;4.92
UseCases/SecureMin;3;75;1000;100;0;0:00:06.008;136048;6.59;45;4.05
UseCases/SecureMin;3;75;1000;100;1;0:00:09.072;136048;9.64;55;4.11
