program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s);Online Phase(s)
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;5;372.401;374.16;104;24%;~39028;249.127;744.631;53.24;358.867;13.5282
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;5;375.848;376.96;104;23%;~39028;249.127;744.631;51.49;361.375;14.4662
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;5;376.357;379.12;104;23%;~39028;249.127;744.631;52.00;360.811;15.5394
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;5;358.998;361.77;104;25%;~39028;249.127;744.631;52.58;346.406;12.5855
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;5;353.112;355.48;108;25%;~39028;249.127;744.631;52.86;338.753;14.3524
62;RING;semidishonest;semi2k;3;15.40;448;4;0;25000;100;0;36.2603;36.47;98;262%;~39028;249.127;744.631;55.88;35.8668;0.388387
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.2772;36.53;101;259%;~39028;249.127;744.631;55.58;35.8755;0.396298
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.439;36.69;93;262%;~39028;249.127;744.631;55.88;36.042;0.391711
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.4185;36.66;99;263%;~39028;249.127;744.631;56.37;36.0226;0.389842
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.4921;36.75;99;261%;~39028;249.127;744.631;54.83;36.0773;0.409428
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.3458;36.59;95;261%;~39028;249.127;744.631;55.64;35.9679;0.372898
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.446;36.69;103;262%;~39028;249.127;744.631;56.81;36.0329;0.407632
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.6463;36.89;99;261%;~39028;249.127;744.631;56.40;36.2499;0.391206
