program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             10000            50          3.03488              3.11                 21            102%       ~7331         1.86933         5.608            1.88
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             10000            100         14.0822              14.17                26            102%       ~29247        6.64497         19.9349          8.38
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             10000            500         336.179              336.26               31            103%       ~698839       150.722         452.166          200.27
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             1000             50          3.52994              3.61                 21            103%       ~7331         1.86933         5.608            2.21
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             1000             100         13.7687              13.86                28            91%        ~29247        6.64497         19.9349          7.49
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             1000             500         338.484              338.56               29            103%       ~698839       150.722         452.166          200.32
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             100              50          3.55926              3.64                 21            97%        ~7331         1.86933         5.608            2.08
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             100              100         14.3023              14.38                26            90%        ~29247        6.64497         19.9349          7.47
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             100              500         342.203              342.28               31            102%       ~698839       150.722         452.166          201.37
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            25000            50          3.58466              3.66                 21            98%        ~7331         1.86933         5.608            2.12
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            25000            100         14.569               14.65                26            98%        ~29247        6.64497         19.9349          8.64
62       RING      semihonest  replicated-ring   3          0.25          22                 1                  1              25000            50          3.14814              3.22                 14            94%        ~7005         0.134046        0.402138         1.67
62       RING      semihonest  replicated-ring   3          0.22          22                 1                  1              25000            100         11.2077              11.28                15            92%        ~28005        0.5367          1.6101           6.21
62       RING      semihonest  replicated-ring   3          0.25          22                 1                  1              25000            500         301.084              301.17               17            93%        ~670101       13.3955         40.1865          171.57
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              10000            50          3.0547               3.14                 14            80%        ~7005         0.134046        0.402138         1.46
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              10000            100         11.8141              11.90                15            95%        ~28005        0.5367          1.6101           6.80
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              10000            500         306.536              306.61               15            95%        ~670101       13.3955         40.1865          178.86
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              1000             50          3.12161              3.20                 14            97%        ~7005         0.134046        0.402138         2.01
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              1000             100         10.006               10.08                17            92%        ~28005        0.5367          1.6101           5.91
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              1000             500         290.934              291.01               17            94%        ~670101       13.3955         40.1865          168.97
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              100              50          2.40934              2.49                 13            103%       ~7005         0.134046        0.402138         1.60
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              100              100         12.9323              13.01                17            95%        ~28005        0.5367          1.6101           7.72
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              100              500         305.295              305.37               15            96%        ~670101       13.3955         40.1865          182.59
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             25000            50          3.05033              3.12                 14            95%        ~7005         0.134046        0.402138         1.80
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             25000            100         12.2253              12.30                15            85%        ~28005        0.5367          1.6101           6.59
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             25000            500         300.836              300.91               17            97%        ~670101       13.3955         40.1865          180.13
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             10000            50          3.12964              3.21                 15            83%        ~7005         0.134046        0.402138         1.60
