program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              10000            10000       37.2223              37.30                15            104%       ~80062        1.59251         4.77754          23.55
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              1000             100         0.401581             0.49                 16            85%        ~854          0.01755         0.05265          0.25
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              1000             10000       37.5347              37.62                17            91%        ~80062        1.59251         4.77754          20.17
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              100              100         0.377456             0.45                 14            91%        ~854          0.01755         0.05265          0.21
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              100              10000       37.4351              37.51                15            91%        ~80062        1.59251         4.77754          20.25
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             25000            100         0.19403              0.27                 14            56%        ~854          0.01755         0.05265          0.07
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             25000            10000       38.0125              38.09                13            98%        ~80062        1.59251         4.77754          22.20
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             10000            100         0.367778             0.44                 16            93%        ~854          0.01755         0.05265          0.22
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             10000            10000       37.1918              37.27                15            86%        ~80062        1.59251         4.77754          18.76
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             1000             100         0.383218             0.46                 16            93%        ~854          0.01755         0.05265          0.24
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             1000             10000       36.6561              36.73                15            97%        ~80062        1.59251         4.77754          21.16
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             100              100         0.382375             0.46                 16            86%        ~854          0.01755         0.05265          0.16
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             100              10000       36.6437              36.73                15            101%       ~80062        1.59251         4.77754          22.62
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            25000            100         0.33628              0.41                 14            94%        ~854          0.01755         0.05265          0.17
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            25000            10000       38.4155              38.49                15            98%        ~80062        1.59251         4.77754          22.81
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            10000            100         0.384521             0.46                 14            94%        ~854          0.01755         0.05265          0.23
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            10000            10000       36.0519              36.13                17            94%        ~80062        1.59251         4.77754          20.59
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            1000             100         0.32717              0.41                 14            90%        ~854          0.01755         0.05265          0.18
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            1000             10000       37.5385              37.62                15            96%        ~80062        1.59251         4.77754          21.49
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            100              100         0.393348             0.48                 14            89%        ~854          0.01755         0.05265          0.20
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            100              10000       38.2804              38.36                15            96%        ~80062        1.59251         4.77754          21.69
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            25000            100         0.384263             0.46                 18            90%        ~854          0.01755         0.05265          0.22
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            25000            10000       36.6994              36.78                15            95%        ~80062        1.59251         4.77754          21.50
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            10000            100         0.398003             0.49                 14            87%        ~854          0.01755         0.05265          0.21
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            10000            10000       36.7376              36.83                21            94%        ~80062        1.59251         4.77754          20.02
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            1000             100         0.163126             0.24                 14            51%        ~854          0.01755         0.05265          0.03
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            1000             10000       37.0097              37.09                17            98%        ~80062        1.59251         4.77754          21.04
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            100              100         0.381245             0.45                 14            87%        ~854          0.01755         0.05265          0.22
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 150            100              10000       38.2015              38.28                15            97%        ~80062        1.59251         4.77754          21.90
