program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;input2_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;334.883;341.17;178;20%;~167668;26.5318;79.5953;37.93
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;338.768;343.04;182;20%;~167668;26.5318;79.5953;39.32
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;323.408;328.19;182;21%;~167668;26.5318;79.5953;36.47
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;327.677;333.50;176;21%;~167668;26.5318;79.5953;37.92
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;342.608;348.51;178;20%;~167668;26.5318;79.5953;38.56
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;344.992;349.81;184;20%;~167668;26.5318;79.5953;38.06
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;332.501;339.22;183;21%;~167668;26.5318;79.5953;38.51
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;335.846;339.76;180;20%;~167668;26.5318;79.5953;37.04


